Diario;Titulo;link;Noticia
Pagina12;Los paréntesis de la Corte Suprema;https://www.pagina12.com.ar/194223-los-parentesis-de-la-corte-suprema; | El papelón en el comunicado sobre el juicio a CFK
Pagina12;“La pérdida del poder adquisitivo se detuvo”;https://www.pagina12.com.ar/194328-la-perdida-del-poder-adquisitivo-se-detuvo; | Sorprendentes declaraciones del ministro Dujovne sobre inflación y salarios
Pagina12;“Hay que integrar a la provincia”;https://www.pagina12.com.ar/194374-hay-que-integrar-a-la-provincia; | El intendente de San Antonio de Areco, Francisco Durañona
Pagina12;En Morón tienen aulas-freezer;https://www.pagina12.com.ar/194331-en-moron-tienen-aulas-freezer; | Desde hace un año varios establecimientos carecen de gas
Pagina12;Un diálogo que funciona como parteaguas opositor;https://www.pagina12.com.ar/194315-un-dialogo-que-funciona-como-parteaguas-opositor; | El gobierno de Venezuela mantuvo contactos con representantes de Guaidó
Pagina12;La Corte Interamericana escuchó sobre retrocesos;https://www.pagina12.com.ar/194359-la-corte-interamericana-escucho-sobre-retrocesos; | Presentación de abogados y organismos de derechos humanos
Pagina12;El debido proceso te lo debo;https://www.pagina12.com.ar/194335-el-debido-proceso-te-lo-debo; | La operación del Gobierno hizo crujir el Estado de Derecho
Pagina12;Transparencia, política y dinero;https://www.pagina12.com.ar/194006-transparencia-politica-y-dinero; | El financiamiento de los partidos
Pagina12;La muerte dijo presente en un reality;https://www.pagina12.com.ar/194249-la-muerte-dijo-presente-en-un-reality; | La televisión británica levantó The Jeremy Kyle Show
Pagina12;Otro triunfo de Jaguares en el Super Rugby;https://www.pagina12.com.ar/194458-otro-triunfo-de-jaguares-en-el-super-rugby; | Derrotaron a Hurricanes por 28 a 20
Pagina12;Con suspenso, Boca dejó atrás a Vélez y sigue;https://www.pagina12.com.ar/194383-con-suspenso-boca-dejo-atras-a-velez-y-sigue; | Ganó en la definición por penales y accedió a semifinales
Pagina12;Sólo apto para mayores de 16;https://www.pagina12.com.ar/194321-solo-apto-para-mayores-de-16; | Legalizan el uso de los monopatines eléctricos en la ciudad. No podrán circular en veredas
Pagina12;“Cada noche es una oportunidad de aprender”;https://www.pagina12.com.ar/194345-cada-noche-es-una-oportunidad-de-aprender; | Entrevista a Ron Carter, antes de su show en BuenoS Aires
Pagina12;Lazos entre dos culturas;https://www.pagina12.com.ar/194288-lazos-entre-dos-culturas; | Comienza Italia in scena en las salas del CTBA
Pagina12;Lucha por la identidad y por la supervivencia;https://www.pagina12.com.ar/194287-lucha-por-la-identidad-y-por-la-supervivencia; | Kleber Mendonça Filho y Kantemir Balagov en el Festival de Cannes
Pagina12;Una mezcla de sueño y realidad;https://www.pagina12.com.ar/194312-una-mezcla-de-sueno-y-realidad; | Clementina, ópera prima de Jimena Monteoliva
Pagina12;Autores y personajes en busca de una reposición;https://www.pagina12.com.ar/194309-autores-y-personajes-en-busca-de-una-reposicion; | La lección de anatomía, con dirección de Agustín Kazah y Pablo Arévalo
Pagina12;Game of Wachines;https://www.pagina12.com.ar/193985-game-of-wachines; | Los modelos de pibes que expuso Game of Thrones
Pagina12;"""Argentina es un país muy rockero""";https://www.pagina12.com.ar/193937-argentina-es-un-pais-muy-rockero; | El mató hace tres fechas al hilo, estrena video y sale de gira
